iter	RMSE
0	14.70188173
1	14.41732233
2	14.14135191
3	13.8704602
4	13.62636026
5	13.36802258
6	13.11373333
7	12.88692332
8	12.64647857
9	12.42176578
10	12.2026623
11	12.00547685
12	11.83122654
13	11.62734242
14	11.4370819
15	11.24101773
16	11.05321544
17	10.90368846
18	10.72827244
19	10.55362599
20	10.41817468
21	10.28274501
22	10.12556675
23	9.97575415
24	9.824183344
25	9.685977976
26	9.566026568
27	9.439044427
28	9.335330963
29	9.239247898
30	9.150773737
31	9.040148585
32	8.927899826
33	8.813466801
34	8.705210962
35	8.595617726
36	8.504227612
37	8.410560554
38	8.321225111
39	8.222199956
40	8.132464595
41	8.04169852
42	7.974216047
43	7.89296937
44	7.831087999
45	7.771259816
46	7.702565468
47	7.626161673
48	7.572574432
49	7.508518407
50	7.437371603
51	7.37843581
52	7.315725981
53	7.255685049
54	7.197579272
55	7.157865895
56	7.096981927
57	7.046241772
58	6.992811875
59	6.938030406
60	6.888342694
61	6.843327929
62	6.795400555
63	6.750364006
64	6.708441087
65	6.672065735
66	6.638189223
67	6.604361198
68	6.568757497
69	6.531989847
70	6.49562061
71	6.460806638
72	6.427446479
73	6.39430974
74	6.363122762
75	6.335557861
76	6.311886499
77	6.280827546
78	6.257295863
79	6.235521203
80	6.207445931
81	6.187303423
82	6.163635659
83	6.144543069
84	6.122295989
85	6.105045291
86	6.088966128
87	6.068840783
88	6.046077293
89	6.025789689
90	6.010420933
91	5.98905269
92	5.970721251
93	5.950701647
94	5.937395834
95	5.920465094
96	5.906514648
97	5.888884308
98	5.87174132
99	5.860007072
100	5.847874172
101	5.835741952
102	5.82659946
103	5.810709032
104	5.800275171
105	5.785925065
106	5.774391325
107	5.763602724
108	5.752912599
109	5.741278185
110	5.72994075
111	5.719369496
112	5.708059779
113	5.700329573
114	5.689594227
115	5.679598115
116	5.674689729
117	5.666652885
118	5.660634674
119	5.651729246
120	5.642608468
121	5.634465439
122	5.624071846
123	5.617970795
124	5.607963456
125	5.601823644
126	5.594151338
127	5.585692273
128	5.575110396
129	5.564868846
130	5.556654829
131	5.55152418
132	5.546935406
133	5.541796629
134	5.534638238
135	5.530221666
136	5.525597851
137	5.520877034
138	5.515297293
139	5.510331732
140	5.50477395
141	5.498179761
142	5.490567526
143	5.485610467
144	5.476970121
145	5.470782417
146	5.465136608
147	5.462080104
148	5.45849343
149	5.454976873
150	5.450692279
151	5.445677767
152	5.440592143
153	5.43469913
154	5.429249322
155	5.424211843
156	5.419668132
157	5.416427543
158	5.411480409
159	5.404149518
160	5.398402278
161	5.394072932
162	5.391566613
163	5.388697276
164	5.384888642
165	5.379164326
166	5.374376221
167	5.368179284
168	5.362828806
169	5.358393981
170	5.354109229
171	5.351676501
172	5.34766127
173	5.345686292
174	5.342389687
175	5.339914613
176	5.336187106
177	5.331969239
178	5.32823689
179	5.325573894
180	5.320429503
181	5.317620046
182	5.312772954
183	5.309311725
184	5.305980465
185	5.303040327
186	5.299417716
187	5.297069868
188	5.294235113
189	5.290823132
190	5.286403267
191	5.283461549
192	5.281392425
193	5.279485137
194	5.277116806
195	5.273430537
196	5.26826111
197	5.262359332
198	5.259520325
199	5.257860109
200	5.256190691
201	5.253282552
202	5.251715269
203	5.248687722
204	5.246982353
205	5.2429706
206	5.239310077
207	5.236720917
208	5.234137515
209	5.232173944
210	5.230280837
211	5.225636315
212	5.222896698
213	5.220148357
214	5.217730957
215	5.215990987
216	5.21411533
217	5.210124294
218	5.207431623
219	5.205016926
220	5.202319893
221	5.199044633
222	5.197134357
223	5.194460502
224	5.19350853
225	5.190508182
226	5.187287174
227	5.185654164
228	5.180936065
229	5.179808354
230	5.175957919
231	5.174043637
232	5.169577415
233	5.166388426
234	5.165508861
235	5.164127006
236	5.162899277
237	5.158661526
238	5.157218582
239	5.153894922
240	5.152932833
241	5.149531141
242	5.147623682
243	5.143716644
244	5.14256171
245	5.140961805
246	5.138967558
247	5.135018291
248	5.131265769
249	5.128253394
250	5.125708649
251	5.1240357
252	5.122043504
253	5.121346379
254	5.11992088
255	5.117369306
256	5.113737459
257	5.109599822
258	5.106833127
259	5.103881786
260	5.102695085
261	5.101296203
262	5.098873863
263	5.097640843
264	5.097142222
265	5.096530842
266	5.094350377
267	5.091499186
268	5.089131625
269	5.087234689
270	5.083903341
271	5.081859695
272	5.080797265
273	5.079153786
274	5.077751189
275	5.07650043
276	5.074285762
277	5.0730102
278	5.071408297
279	5.068844251
280	5.067024239
281	5.065465343
282	5.062495228
283	5.061410838
284	5.060047925
285	5.057409163
286	5.054960434
287	5.051088544
288	5.047804472
289	5.044389333
290	5.043872946
291	5.040054061
292	5.039028607
293	5.038660442
294	5.036917009
295	5.035945964
296	5.032284618
297	5.028576266
298	5.026952886
299	5.024502423
