iter	Passed	Remaining
0	150	45004
1	151	22509
2	151	15005
3	152	11254
4	152	8998
5	153	7499
6	153	6427
7	154	5622
8	154	4996
9	155	4499
10	155	4089
11	156	3747
12	156	3455
13	157	3207
14	157	2992
15	157	2803
16	158	2638
17	159	2491
18	159	2361
19	160	2243
20	160	2135
21	161	2036
22	161	1948
23	162	1865
24	162	1789
25	163	1718
26	163	1653
27	163	1592
28	164	1535
29	164	1483
30	165	1434
31	165	1389
32	166	1345
33	166	1304
34	167	1265
35	167	1229
36	168	1194
37	168	1161
38	168	1130
39	169	1101
40	169	1072
41	170	1045
42	170	1019
43	171	995
44	171	971
45	171	949
46	172	928
47	172	907
48	173	887
49	173	868
50	174	850
51	174	832
52	174	815
53	175	798
54	175	782
55	176	767
56	176	752
57	177	739
58	177	724
59	178	712
60	178	699
61	179	687
62	179	675
63	179	663
64	180	652
65	180	640
66	181	630
67	181	619
68	182	609
69	182	599
70	182	590
71	183	580
72	183	571
73	184	563
74	184	554
75	185	546
76	185	537
77	186	529
78	186	521
79	186	513
80	187	506
81	187	499
82	188	491
83	188	484
84	189	478
85	189	471
86	189	464
87	190	458
88	191	452
89	191	447
90	192	441
91	192	435
92	193	429
93	193	424
94	194	418
95	194	413
96	195	408
97	195	403
98	196	398
99	196	393
100	197	388
101	197	383
102	198	378
103	198	374
104	198	369
105	199	365
106	199	360
107	200	356
108	200	351
109	201	347
110	201	343
111	202	339
112	202	335
113	203	331
114	203	327
115	204	323
116	204	319
117	205	316
118	205	312
119	206	309
120	206	305
121	207	302
122	207	298
123	208	295
124	208	292
125	209	289
126	209	285
127	210	282
128	210	279
129	211	276
130	211	273
131	212	269
132	212	266
133	213	264
134	213	261
135	213	257
136	214	255
137	214	252
138	215	249
139	215	246
140	216	243
141	216	241
142	217	238
143	217	235
144	218	233
145	218	230
146	219	228
147	219	225
148	220	223
149	220	220
150	221	218
151	222	216
152	222	214
153	223	211
154	223	209
155	224	207
156	224	204
157	225	202
158	225	200
159	226	197
160	226	195
161	226	193
162	227	191
163	227	188
164	228	186
165	228	184
166	229	182
167	229	180
168	230	178
169	230	176
170	231	174
171	231	172
172	232	170
173	232	168
174	233	166
175	233	164
176	234	162
177	234	160
178	234	158
179	235	157
180	235	155
181	236	153
182	236	151
183	237	149
184	237	147
185	237	145
186	238	143
187	238	142
188	239	140
189	239	138
190	239	136
191	240	135
192	240	133
193	241	131
194	241	130
195	241	128
196	242	126
197	242	125
198	243	123
199	243	121
200	244	120
201	244	118
202	245	117
203	245	115
204	245	113
205	246	112
206	246	110
207	247	109
208	247	107
209	248	106
210	248	105
211	249	103
212	250	102
213	250	100
214	251	99
215	251	97
216	251	96
217	252	94
218	252	93
219	253	92
220	253	90
221	254	89
222	254	87
223	254	86
224	255	85
225	255	83
226	256	82
227	256	81
228	256	79
229	257	78
230	257	77
231	258	75
232	258	74
233	259	73
234	259	71
235	260	70
236	261	69
237	262	68
238	262	67
239	263	65
240	263	64
241	263	63
242	264	62
243	264	60
244	265	59
245	266	58
246	266	57
247	267	56
248	267	54
249	268	53
250	268	52
251	269	51
252	269	50
253	270	48
254	270	47
255	271	46
256	271	45
257	272	44
258	272	43
259	273	42
260	274	40
261	274	39
262	275	38
263	275	37
264	275	36
265	276	35
266	276	34
267	277	33
268	277	31
269	277	30
270	278	29
271	278	28
272	279	27
273	279	26
274	280	25
275	280	24
276	281	23
277	281	22
278	282	21
279	282	20
280	283	19
281	283	18
282	284	17
283	284	16
284	285	15
285	285	13
286	286	12
287	286	11
288	287	10
289	287	9
290	287	8
291	288	7
292	289	6
293	289	5
294	290	4
295	290	3
296	290	2
297	291	1
298	291	0
299	292	0
